Course,# of Sections,# Enrolled
ESL 049,3,49
ESL 054,3,49
ESL 062,11,284
ESL 094,15,388
ESL 095,25,646
ACR 094,17,476
ACR 095,51,1342
CRT 100,5,115
LIN 100,2,50
TOTALS,132,"3,399"
