Course,# of Sections,# Enrolled
ESL 049,3,35
ESL 054,3,35
ESL 062,6,127
ESL 094,16,298
ESL 095,30,625
ACR 094,21,466
ACR 095,48,"1,158"
CRT 100,30,829
LIN 100,16,429
Totals,173,"4,002"
