,Course,# of Sections,# Enrolled
0,Regular,107,1614
1,ACR 150,12,213
2,ACR 195,4,81
3,ACR 200,5,82
4,CRT 100,29,391
5,CRT 100.6,4,34
6,CRT 120,1,13
7,CRT 150,2,30
8,ESL  49,1,23
9,ESL  54,1,23
10,ESL  94RW,4,73
11,ESL  96,11,229
12,LIN 100,7,91
13,LIN 100H,1,5
14,LIN 101,2,35
15,LIN 101H,1,6
16,LIN 110,1,9
17,LIN 130,1,15
18,LIN 140,1,7
19,LIN 150,7,92
20,LIN 200,1,3
21,LIN 250,10,144
22,LIN 300,1,15
23,7W1,4,89
24,ACR 150,1,25
25,CRT 100,1,25
26,LIN 150,1,25
27,LIN 250,1,14
28,8W2*,32,328
29,ACL 110,1,0
30,ACL 120,1,5
31,ACR 150,2,35
32,ACR 250,1,0
33,CRT 100,3,49
34,CRT 100.6,2,18
35,CRT 120,3,21
36,CRT 150,2,16
37,CRT 196,1,8
38,CRT 245,1,18
39,ESL  49,1,0
40,ESL  54,1,0
41,ESL  94RW,2,24
42,ESL  96,3,37
43,LIN 100,1,21
44,LIN 101,1,17
45,LIN 150,3,46
46,LIN 210,1,12
47,LIN 220,1,0
48,LIN 250,1,1
49,Pre-College,4,37
50,CRT 100,4,37
51,Grand Total,147,2068
