Course,# of Sections,# Enrolled
ESL 049,3,54
ESL 054,3,52
ESL 062,11,253
ESL 094,24,574
ESL 095,33,801
ACR 094,24,544
ACR 095,54,"1,203"
CRT 100,17,465
LIN 100,7,200
Totals,176,"4,176"
