Course,# of Sections,# Enrolled
ESL 049,3,58
ESL 054,3,61
ESL 062,12,298
ESL 094,18,453
ESL 095,33,820
ACR 094,27,666
ACR 095,60,"1,476"
CRT 100,11,281
LIN 100,10,282
Totals,177,"4,395"
