Course,# of Sections,# Enrolled
ESL 049,3,50
ESL 054,3,50
ESL 062,9,200
ESL 094,15,329
ESL 095,22,503
ACR 094,13,289
ACR 095,32,822
LIN 100,1,13
CRT 100,5,120
Dept Totals,103,2243
