Course,# of Sections,# Enrolled
ACR 94,20,476
ACR 95,48,1172
CRT 100,34,1115
ESL 49,2,37
ESL 54,2,38
ESL 62,6,107
ESL 94,16,302
ESL 95,27,611
LIN 100,18,493
LIN 110,1,24
Department Total,174,4375
