Course,# of Sections,# Enrolled
ESL 049,3,51
ESL 054,3,51
ESL 062,9,218
ESL 094,15,343
ESL 095,24,554
ACR 094,13,331
ACR 095,40,1017
LIN 100,2,39
CRT 100,3,62
Dept Totals,112,2666
