Course,# of Sections,# Enrolled
ESL 049,3,49
ESL 054,3,49
ESL 062,8,201
ESL 094,14,349
ESL 095,23,541
ACR 094,9,218
ACR 095,28,736
LIN 100,1,18
CRT 100,5,125
Dept Totals,94,2286
