Course,# of Sections,# Enrolled
ESL 049,3,50
ESL 054,3,50
ESL 062,9,207
ESL 094,16,373
ESL 095,20,527
RDG 062,10,245
RDG 075,35,870
CRT 100,7,172
LIN 100,1,13
Dept Totals,104,2507
