Course,# of Sections,# Enrolled
ESL 049,3,56
ESL 054,3,56
ESL 062,10,245
ESL 094,16,355
ESL 095,22,535
RDG 062,8,179
RDG 075,31,765
CRT 100,6,146
LIN 100,1,21
Dept Totals,100,2358
