Course,# of Sections,# Enrolled
ESL 049,3,51
ESL 054,3,51
ESL 062,8,211
ESL 094,17,429
ESL 095,19,509
RDG 062,13,317
RDG 075,38,917
LIN 100,1,21
CRT 100,7,167
Dept Totals,109,2675
