Course,# of Sections,# Enrolled
ESL 049,3,49
ESL 054,3,49
ESL 062,9,207
ESL 094,23,543
ESL 095,33,730
ACR 094,22,545
ACR 095,55,"1,343"
CRT 100,16,471
LIN 100,11,268
Totals,175,"4,205"
