Course,# of Sections,# Enrolled
ESL 049,3,55
ESL 054,3,56
ESL 062,10,241
ESL 094,21,511
ESL 095,30,736
ACR 094,24,601
ACR 095,54,"1,264"
CRT 100,11,284
LIN 100,7,164
Total,163,"3,912"
