Course,# of Sections,# Enrolled
ESL 049,3,63
ESL 054,3,65
ESL 062,9,202
ESL 094,16,382
ESL 095,21,495
ACR 094,15,388
ACR 095,36,927
CRT 100,8,179
LIN 100,1,21
DEPT TOTAL,112,"2,719"
