,,,,,,,,,,,,
Term,Class Stat,Subject,Catalog#,Section,Class Title,Enrl Cap,Tot Enrl,Days,Mtg Start,Mtg End,Room,Name
1232,Active,CRT, 100,1005,Critical Thinking,30,12,M,10:30AM,01:15PM,FH-1003,"Marcus,Matthew G"
1232,Active,CRT, 100,100W,Critical Thinking,25,12,MW,10:30AM,11:45AM,FH-505,"Hoffman,Mark S"
1232,Cancelled,CRT, 100,101W,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,102W,Critical Thinking,20,14,MW,10:00AM,11:15AM,MC-N790,"Sarajlic,Eldar"
1232,Cancelled,CRT, 100,1101,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,1102,Critical Thinking,30,16,TuTh,11:00AM,12:15PM,FH-505,"Singh,Danesh Kumar"
1232,Active,CRT, 100,1103,Critical Thinking,35,13,Th,11:00AM,12:15PM,FH-1013,
1232,Active,CRT, 100,1103,Critical Thinking,35,13,Tu,11:00AM,12:15PM,MU-M306,"Flink,Patrick"
1232,Active,CRT, 100,110W,Critical Thinking,20,11,W,11:00AM,01:45PM,MC-N585,"Smith,Nicholas R"
1232,Cancelled,CRT, 100,1201,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,1202,Critical Thinking,25,17,M,12:00PM,01:40PM,OL-03,"Emanuel,Juliet"
1232,Active,CRT, 100,1202,Critical Thinking,25,17,W,12:00PM,12:50PM,OL-03,
1232,Cancelled,CRT, 100,120W,Critical Thinking,20,0,,,,,
1232,Cancelled,CRT, 100,121W,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,122W,Critical Thinking,25,25,MW,12:00PM,01:15PM,FH-505,"Hoffman,Mark S"
1232,Active,CRT, 100,1300,Critical Thinking,25,18,M,01:00PM,02:15PM,OL-03,"Lester,Lanny Martin"
1232,Active,CRT, 100,1300,Critical Thinking,25,18,,,,OL-02,
1232,Active,CRT, 100,1302,Critical Thinking,25,8,Sa,01:00PM,03:45PM,OL-03,"Korbl,Csilla B"
1232,Cancelled,CRT, 100,130W,Critical Thinking,20,0,,,,,
1232,Cancelled,CRT, 100,1500,Critical Thinking,19,0,,,,,
1232,Active,CRT, 100,1501,Critical Thinking,29,10,TuTh,03:30PM,04:45PM,MU-M213,"Koch,William H."
1232,Cancelled,CRT, 100,150W,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,1600,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,1601,Critical Thinking,25,8,MTh,04:00PM,05:15PM,MC-N455,"Smith,Nicholas R"
1232,Cancelled,CRT, 100,1602,Critical Thinking,19,0,,,,,
1232,Active,CRT, 100,1603,Critical Thinking,25,9,TuTh,04:00PM,05:15PM,OL-03,"Hoffman,Mark S"
1232,Active,CRT, 100,160W,Critical Thinking,25,11,W,04:00PM,06:45PM,MC-S739,"Marcus,Matthew G"
1232,Cancelled,CRT, 100,161W,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,1700,Critical Thinking,25,9,F,05:00PM,07:45PM,OL-03,"Prager,Brian"
1232,Cancelled,CRT, 100,1701,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,170W,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,171W,Critical Thinking,25,15,Tu,05:00PM,07:45PM,OL-03,"Kelley,Brian"
1232,Cancelled,CRT, 100,1800,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,1801,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,5000,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,5001,Critical Thinking,25,14,W,05:30PM,06:45PM,OL-03,"Lester,Lanny Martin"
1232,Active,CRT, 100,5001,Critical Thinking,25,14,,,,OL-02,
1232,Cancelled,CRT, 100,BB12,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,CH01,Critical Thinking,25,4,MW,11:00AM,12:15PM,CH-312,"Protopopescu,Tudor I"
1232,Active,CRT, 100.6,0500,Critical Thinking for ESL 95,25,24,,,,OL-02,"Leonard,Timothy J"
1232,Active,CRT, 100.6,0900,Critical Thinking for ESL 95,25,14,MW,09:00AM,11:45AM,OL-03,"Emanuel,Juliet"
1232,Active,CRT, 100.6,1000,Critical Thinking for ESL 95,19,12,TuF,10:00AM,12:45PM,MC-N795,"Comeau-Kirschner,Cheryl"
1232,Cancelled,CRT, 100.6,1001,Critical Thinking for ESL 95,25,0,,,,,
1232,Cancelled,CRT, 100.6,1200,Critical Thinking for ESL 95,25,0,,,,,
1232,Cancelled,CRT, 100.6,1400,Critical Thinking for ESL 95,19,0,,,,,
1232,Active,CRT, 100.6,1800,Critical Thinking for ESL 95,25,11,MW,06:00PM,08:45PM,OL-03,"Dunphy Gregoire,Megan Christine"
1232,Cancelled,CRT, 100.6,CH01,Critical Thinking for ESL 95,25,0,,,,,
1232,Cancelled,CRT, 100.6,CH02,Critical Thinking for ESL 95,25,0,,,,,
1232,Active,CRT, 100H,050W,Critical Thinking (Honors),25,25,,,,OL-02,"Torres,Rosario"
1232,Active,CRT, 120,0500,Critical Thnkng & Social Just,25,15,,,,OL-02,"Kelley,Brian"
1232,Active,CRT, 120,110W,Critical Thnkng & Social Just,25,10,Tu,11:00AM,01:45PM,MC-N455,"Torres,Rosario"
1232,Active,CRT, 120,180W,Critical Thnkng & Social Just,25,9,TuTh,06:00PM,07:15PM,OL-03,"Hoffman,Mark S"
1232,Cancelled,CRT, 120,1900,Critical Thnkng & Social Just,25,0,,,,,
1232,Active,CRT, 150,0500,Critical Thnkng & Sci Inquiry,25,21,,,,OL-02,"Smith,Nicholas R"
1232,Active,CRT, 150,0501,Critical Thnkng & Sci Inquiry,25,20,,,,OL-02,"Sarajlic,Eldar"
1232,Active,CRT, 150,1000,Critical Thnkng & Sci Inquiry,30,8,Th,10:00AM,12:45PM,FH-308,"Smith,Nicholas R"
1232,Cancelled,CRT, 150,120W,Critical Thnkng & Sci Inquiry,20,0,,,,,
1232,Active,CRT, 196,050W,Crtcl Thnk: Inq Queer Theories,25,16,,,,OL-02,"Kelley,Brian"
1232,Cancelled,CRT, 220,160W,Crit Think thru Virtual Theory,25,0,,,,,
1232,Cancelled,CRT, 245,0500,Crit Thinking & Media Literacy,25,0,,,,,
1232,Cancelled,CRT, 245,1100,Crit Thinking & Media Literacy,23,0,,,,,
1232,Cancelled,CRT, 250,050W,Critical Data Literacy,25,0,,,,,
1232,Cancelled,CRT, 295,150W,Crit Thnk Approach to Religion,25,0,,,,,
1232,Cancelled,CRT, 310,1600,Crit Thnkng thru Legal Reason,28,0,,,,,
1232,Active,ESL,  49,1100,English as a Second Language,22,20,Tu,11:00AM,01:45PM,MC-N780,"Leonard,Timothy J"
