Course,# of Sections,# Enrolled
ESL 049,2,37
ESL 054,2,38
ESL 062,12,294
ESL 094,14,327
ESL 095,24,588
RDG 062,12,281
RDG 075,33,847
CRT 100,5,121
LIN 100,0,0
Dept Totals,104,2533
