Course,# of Sections,# Enrolled
ESL 049,3,30
ESL 054,3,33
ESL 062,9,187
ESL 094,22,467
ESL 095,30,645
ACR 094,23,516
ACR 095,55,"1,284"
CRT 100,18,526
LIN 100,9,226
Totals,172,"3,914"
