Course,# of Sections,# Enrolled
ESL 049,2,36
ESL 054,2,36
ESL 062,11,246
ESL 094,14,328
ESL 095,23,586
RDG 062,9,188
RDG 075,33,781
LIN 100,2,27
CRT 100,4,101
Dept Totals,100,2329
