,Course,# of Sections,# Enrolled
0,ALL TOTAL,113,2062
1, ACR 94,2,35
2,ACR 95,3,46
3,ACR 150,3,70
4,ACR 195,1,20
5,ACR 200,3,74
6,CRT 100,34,625
7,CRT 100.5,7,123
8,CRT 100.6,5,66
9,CRT 120,2,29
10,CRT 150,2,39
11,CRT 196,1,24
12,CRT 245,1,13
13,ESL 49,1,12
14,ESL 54,1,12
15,ESL 94,4,63
16,ESL 95,5,65
17,ESL 96,2,43
18,LIN 100,7,159
19,LIN 100.6,1,16
20,LIN 101,3,47
21,LIN 110,2,25
22,LIN 140,1,13
23,LIN 150,7,175
24,LIN 150.5,2,20
25,LIN 220,1,1
26,LIN 250,12,247
