Course,# of Sections,# Enrolled
ACR  94,21,535
ACR 95,43,"1,006"
CRT 100,56,"1,679"
ESL 49,2,31
ESL 54,2,31
ESL 62,5,103
ESL 94,11,269
ESL 95,22,486
ESL 96,1,9
LIN 100,19,544
LIN 110,1,25
LIN 250,1,17
Grand Total,184,"4,735"
