Course,# of Sections,# Enrolled
ACR 94,19,488
ACR 95,19,357
ACR 200,1,25
CRT 100,67,"1,569"
CRT 100.5,11,221
CRT 100.6,5,116
CRT 196,1,30
ESL 49,3,57
ESL 54,3,58
ESL 94,12,285
ESL 95,15,350
ESL 96,1,25
LIN 100,16,424
LIN 101,2,63
LIN 110,1,25
LIN 140,1,21
LIN 150,4,102
LIN 250,6,153
LIN 300,1,18
LIN 100H,1,22
Grand Total,189,"4,409"
