Course,# of Sections,# Enrolled
ESL 049,3,63
ESL 054,3,63
ESL 062,13,307
ESL 094,15,376
ESL 095,24,605
RDG 062,13,343
RDG 075,41,1024
CRT 100,6,128
LIN 100,0,0
Dept Totals,116,2909
