Course,# Enrolled,# of Sections
ACL 110,3,1
ACL 120,17,2
ACL 150,162,10
ACL 195,25,1
ACL 200,57,5
CRT 100,543,35
CRT 100.6,75,7
CRT 120,29,2
CRT 150,39,3
CRT 196,4,1
CRT 245,17,2
ESL 49,19,1
ESL 54,19,1
ESL 94RW,292,13
ESL 96,259,16
LIN 100,89,6
LIN 100.6,14,1
LIN 101,47,3
LIN 101H,2,1
LIN 110,8,1
LIN 130,6,1
LIN 140,37,2
LIN 150,150,9
LIN 200,2,1
LIN 220,4,2
LIN 250,131,7
LIN 250H,1,1
LIN 300,6,1
