Course,# of Sections,#l Enrolled
ACR 94,18,469
ACR 95,28,582
CRT 100,62,"1,625"
CRT 100.5,3,42
CRT 100.6,2,36
ESL 49,3,69
ESL 54,3,70
ESL 94,15,344
ESL 95,17,420
ESL 96,1,23
LIN 100,16,430
LIN 110,1,30
LIN 250,3,86
LIN 300,1,25
Grand Total,173,"4,251"
