Course,# of Sections,# Enrolled
ACR 94,20,503
ACR 95,9,220
ACR 200,2,51
CRT 100,44,"1,057"
CRT 100.5,10,235
CRT 100.6,5,121
CRT 120,2,35
CRT 150,1,17
CRT 196,1,22
ESL 49,3,67
ESL 54,3,67
ESL 94,10,248
ESL 95,10,191
ESL 96,1,22
LIN 100,11,281
LIN 100.6,1,16
LIN 101,2,33
LIN 101.6,1,8
LIN 110,1,20
LIN 130,1,10
LIN 140,1,22
LIN 150,7,173
LIN 220,1,1
LIN 250,11,273
LIN 300,1,13
LIN 100H,1,12
Grand Total,160,"3,718"
