Course,# of Sections,# Enrolled
ACR 94,15,276
ACR 95,25,454
CRT 100,57,"1,218"
CRT 100.5,4,63
CRT 100.6,4,69
CRT 100H,1,21
ESL 49,3,41
ESL 54,3,44
ESL 94,15,300
ESL 95,17,454
ESL 96,1,19
LIN 100,13,320
LIN 110,1,29
LIN 120,3,76
LIN 150,4,100
LIN 250,4,105
LIN 100H,1,14
Grand Total,171,"3,471"
