Course,# of Sections,# Enrolled
ESL 049,-3,-47
ESL 054,3,48
ESL 062,13,296
ESL 094,16,418
ESL 095,29,699
ACR 094,24,633
ACR 095,53,"1,376"
CRT 100,10,291
LIN 100,6,168
Total,157,"3,976"
