Course,# of Sections,# Enrolled
ESL 049,3,56
ESL 054,3,60
ESL 062,10,233
ESL 094,14,363
ESL 095,22,496
ACR 094,13,330
ACR 095,40,"1,046"
Total,53,"1,376"
CRT 100,6,127
LIN 100,2,36
DEPT TOTAL,113,"2,747"
