Course,# of Sections,# Enrolled
ESL 049,3,67
ESL 054,3,67
ESL 062,10,227
ESL 094,20,424
ESL 095,29,694
ACR 094,19,417
ACR 095,54,"1,285"
CRT 100,10,285
LIN 100,5,157
Total,153,"3,622"
