Course,# of Sections,# Enrolled
ACR 94,7,148
ACR 95,7,146
ACR 200,2,42
CRT 100,42,767
CRT  100.5,11,203
CRT  100.6,7,109
CRT  120,1,22
CRT 150,2,23
CRT 196,1,11
CRT 245,1,15
ESL 49,2,30
ESL 54,2,34
ESL 94,11,188
ESL 95,7,145
ESL  96,1,11
LIN 100,9,166
LIN  100.5,1,16
LIN  100.6,2,32
LIN 101,2,25
LIN 101.6,1,18
LIN 110,2,37
LIN 130,1,6
LIN 140,1,6
LIN 150,5,118
LIN 150.5,1,10
LIN 200,1,6
LIN 250,13,320
Grand Total,145,"2,656"
