Course,# of  Sections,# Enrolled
ACR 94,27,672
ACR 95,51,"1,291"
CRT 100,53,"1,696"
ESL 49,3,46
ESL 54,3,46
ESL 62,6,148
ESL 94,13,308
ESL 95,25,608
LIN 100,18,488
LIN 110,1,22
LIN 250,1,17
Total Department,201,"5,296"
