Course,# of Sections,# Enrolled
ESL 049,3,33
ESL 054,3,33
ESL 062,6,125
ESL 094,15,281
ESL 095,27,633
ACR 094,27,716
ACR 095,52,"1,344"
CRT 100,44,"1,407"
LIN 100,20,582
Totals,197,"5,154"
